"duplication","loss","speciation","sploss","wgd","wgdloss"
876.801999999992,0.0,3827.6419999999844,683.1599999999955,0.0,0.0
1040.9129999999989,514.7149999999964,5037.0,0.0,0.0,0.0
5.825999999999994,168.44499999999945,3845.2609999999354,502.92200000000275,0.0,0.0
2213.015000000001,0.0,6233.0,0.0,0.0,0.0
606.1419999999937,4845.360000000059,4222.391999999911,1243.6979999999826,0.0,0.0
413.609,1243.6979999999826,4777.0,0.0,0.0,0.0
8.10400000000001,5204.888999999941,4231.785999999943,1244.2369999999796,0.0,0.0
231.00900000000084,5201.197000000057,4590.100999999928,861.9909999999894,0.0,0.0
575.8549999999999,0.0,5265.0,0.0,0.0,0.0
0.6720000000000005,5168.30099999998,4332.764999999985,1207.167999999988,0.0,0.0
489.05399999999986,0.0,5481.0,0.0,0.0,0.0
459.24799999999976,1207.167999999988,5340.0,0.0,0.0,0.0
680.0799999999998,0.0,5485.0,0.0,0.0,0.0
679.1949999999904,502.92200000000275,0.0,0.0,7.293999999999963,4845.360000000059
11.312999999999958,0.0,0.0,0.0,131.51500000000095,5204.888999999941
308.25099999999884,1244.2369999999796,0.0,0.0,9.942999999999984,5201.197000000057
0.7330000000000004,861.9909999999894,0.0,0.0,185.47999999999794,5168.30099999998
